,POI Total,POI Lifestyle,POI Business/Residential,POI Food/Beverage,Charge Count,zone_mean_pred,zone_mean_actual
522,0.008896463,-0.0026274745,0.035311118,-0.002681154,0.009580777,0.42473623,0.43697912
525,-0.0014163575,0.061650038,0.0023714085,-0.014812619,0.0047411034,0.39391577,0.499581
526,-0.023860198,0.01275872,-0.020249754,-0.026605887,-0.0026841874,0.2632807,0.152226
527,-0.0033029718,-0.021262541,0.00039055277,-0.022903768,0.008204926,0.305957,0.31359115
528,-0.008151324,0.03735044,-0.029203452,-0.026709463,0.005383257,0.31052306,0.32551327
529,0.021761624,-0.0118673695,0.015330862,0.026433872,-0.0049754917,0.4242632,0.487646
552,-0.0068747182,-0.017983992,0.0072099557,-0.025391458,-0.0033995176,0.30542278,0.31623545
553,0.010113974,-0.014503629,0.018562416,0.007709302,-0.02540024,0.3414606,0.29789212
558,-0.0015689847,-0.020821447,0.01427195,0.012577696,0.015843883,0.38794044,0.42808864
559,0.015614359,-0.013653073,0.030371996,0.028061487,-0.015163211,0.40332207,0.38675222
568,0.012494184,0.05626767,0.015580884,0.025479423,-0.005993259,0.49030814,0.49330887
570,-0.0028138766,-0.015851451,0.01644591,0.025339682,-0.022412062,0.36506474,0.4532157
575,0.022643223,0.012021735,0.019734684,0.013655245,-0.0169922,0.41841957,0.51058465
576,-0.007280925,-0.012857285,-0.0035925957,-0.00015096809,-0.002299145,0.3079444,0.2861169
577,-0.006488548,-0.031133024,0.0052408664,0.011964635,-0.008305947,0.3231296,0.21484526
578,0.011466766,-0.007377243,0.02377144,0.017751364,0.008654466,0.4484134,0.46629512
580,0.0043111076,-0.022977665,0.010201953,0.00048017953,-0.02144566,0.3091007,0.24363045
582,0.01605146,-0.0015521282,0.014342932,0.022239117,0.026545722,0.4600692,0.54898953
584,0.02125121,-0.010724676,-0.003956475,-0.012153386,0.0049404,0.35034892,0.34223428
585,-0.0056903283,-0.023363326,0.0096433,-0.029949058,-0.019182194,0.2604897,0.30175152
587,-0.005426231,0.012578284,-0.007868338,-0.02857391,-0.011033295,0.28277335,0.30230966
588,-0.004356988,0.025242714,-0.0058809766,-0.02339697,0.0042288355,0.34870943,0.3934282
589,0.0014712204,-0.007550917,0.012658567,-0.0068001403,0.009230501,0.36004627,0.27423564
592,0.0033605027,-0.0067313965,0.007419862,0.010015019,0.003401283,0.35164097,0.3357443
594,0.0101028755,-0.008256844,-0.00338053,-0.016013626,0.020217756,0.37332067,0.32024983
595,0.0017998415,-0.0021732512,0.010035358,0.011889572,0.008879669,0.3980234,0.37803948
596,0.00520415,-0.011328179,0.015528991,0.013100124,0.0042999806,0.4281712,0.47423384
598,0.020953242,-0.0036157246,0.0059352578,-0.026128825,-0.020372069,0.31545696,0.3046709
601,0.025962148,0.08216667,0.025143897,0.02322518,0.01589567,0.5250524,0.5014595
628,0.049754545,-0.00070504576,0.02043734,0.032967575,0.08928451,0.54355055,0.6175684
631,0.0112849,-0.005774257,0.01643299,0.007842323,0.011095365,0.35313654,0.21945618
632,0.02064707,0.013227411,0.023184739,0.025302725,0.016888652,0.49321815,0.54624754
633,-0.018130697,-0.037211273,-0.023517704,0.00050966186,-0.0023617405,0.25492975,0.3607167
637,-0.007935979,-0.043094136,-0.015068466,-0.0038907924,0.007907709,0.25723055,0.21072207
638,-0.013808664,-0.044759575,-0.006992147,-0.005416791,-0.045537338,0.21390156,0.23757966
643,0.007313412,-0.0043249247,-0.005616849,0.004087928,-0.00030669261,0.36787996,0.39343545
644,-0.0063289995,0.011881374,0.024165658,0.011100452,-0.0028352553,0.37136233,0.21915355
647,0.021647245,0.016287507,0.010861594,0.03231409,-0.018600797,0.44088677,0.3126349
651,0.10285199,0.042013697,0.06154309,0.02982228,0.14569719,0.7558101,0.9338035
655,-0.02493056,-0.033630274,-0.021870898,-0.03743585,-0.014059665,0.15306683,0.110886216
656,-0.028038723,-0.07613098,0.0013222082,-0.034199513,-0.0071774484,0.1559899,0.16626742
659,-0.015406849,-0.04375668,-0.019070534,-0.03357776,-0.04349123,0.21051703,0.15959054
